region,polling_unit_id,date,registered_voters,accredited_voters,votes_cast,invalid_votes,voting_start_time,voting_end_time,device_status,network_status,incidents_reported,expected_staff,staff_present,result_uploaded,upload_delay_minutes
Rivers,PU_0000,2026-03-28,1952,1622,1433,16,2026-06-21 08:20:00,2026-06-21 16:13:00,Faulty,Poor,1,5,4,1,52.0
Kaduna,PU_0001,2026-03-28,809,706,626,42,2026-06-21 08:18:00,2026-06-21 15:23:00,Working,Poor,4,6,5,1,44.0
Kano,PU_0002,2026-03-28,1205,777,744,5,2026-06-21 09:17:00,2026-06-21 15:46:00,Faulty,Poor,2,8,7,0,
Kaduna,PU_0003,2026-03-28,1353,1009,910,34,2026-06-21 09:05:00,2026-06-21 15:57:00,Working,Good,1,7,6,1,106.0
Kaduna,PU_0004,2026-03-28,1953,1302,1249,39,2026-06-21 09:35:00,2026-06-21 16:42:00,Working,Good,2,9,8,1,122.0
Abuja,PU_0005,2026-03-28,1523,1372,1328,33,2026-06-21 08:25:00,2026-06-21 15:42:00,Working,Good,2,6,4,1,177.0
Kano,PU_0006,2026-03-28,1684,1100,1001,21,2026-06-21 08:36:00,2026-06-21 16:55:00,Working,Good,2,5,3,1,26.0
Kano,PU_0007,2026-03-28,805,606,589,36,2026-06-21 09:48:00,2026-06-21 16:58:00,Working,Good,0,6,6,0,
Kano,PU_0008,2026-03-28,1884,1165,1035,31,2026-06-21 09:47:00,2026-06-21 16:49:00,Working,Poor,0,6,6,1,5.0
Kaduna,PU_0009,2026-03-28,1801,1480,1308,9,2026-06-21 08:39:00,2026-06-21 15:10:00,Working,Good,3,8,6,1,131.0
Rivers,PU_0010,2026-03-28,1819,1398,1207,5,2026-06-21 09:31:00,2026-06-21 16:17:00,Working,Good,2,5,3,0,
Kano,PU_0011,2026-03-28,1372,1062,936,12,2026-06-21 08:23:00,2026-06-21 16:00:00,Working,Poor,1,7,7,1,17.0
Kaduna,PU_0012,2026-03-28,668,424,402,5,2026-06-21 08:17:00,2026-06-21 16:46:00,Working,Good,1,5,4,1,96.0
Abuja,PU_0013,2026-03-28,1982,1545,1394,35,2026-06-21 08:16:00,2026-06-21 16:32:00,Working,Good,0,7,5,1,173.0
Rivers,PU_0014,2026-03-28,1530,1219,1059,32,2026-06-21 08:42:00,2026-06-21 15:06:00,Faulty,Good,1,8,7,0,
