polling_unit_id,region,distance_to_warehouse_km,road_condition,security_risk_level,historical_incidents,weather_forecast,delivery_time_hours,staff_training_level,materials_delivered,delivery_delay_hours,risk_score,high_risk_flag
PU_0000,Rivers,75.45264585278024,Fair,Low,1,Rain,2.2341419948358765,Medium,1,1.7926474855839247,22.779500398931933,0
PU_0001,Kaduna,71.22841510067903,Good,Low,3,Clear,1.257706544367651,High,1,6.352884404770368,31.77500962729136,0
PU_0002,Kano,29.637897678723323,Fair,Low,1,Rain,0.927728624365821,Medium,1,0.3188648076490497,11.40587674721824,0
PU_0003,Kaduna,7.140462659925529,Poor,Low,1,Clear,0.25490488757590474,Medium,1,6.237468959109024,17.784295970648643,0
PU_0004,Kaduna,85.94972915026943,Fair,Low,1,Rain,2.349261617478857,High,0,13.505224405821856,42.447782438786675,1
PU_0005,Abuja,32.05606616892035,Fair,Low,0,Clear,0.8166978441665763,Low,1,6.494535414428746,19.15301635542719,0
PU_0006,Kano,20.375628077898256,Poor,Low,1,Rain,0.35559865508469524,High,1,9.880557337253627,25.895961621460092,0
PU_0007,Kano,52.090120413736734,Fair,Medium,1,Storm,1.4045185762232886,High,1,8.88952874210168,30.752317195899867,0
PU_0008,Kano,91.11249272896228,Poor,Low,5,Clear,1.591773178691052,Medium,1,0.4791553988531627,33.941231644072204,0
PU_0009,Kaduna,5.311111206494159,Good,Low,2,Storm,0.25311529216286777,Medium,0,17.83140198411727,33.809325217474736,0
PU_0010,Rivers,76.81460471505788,Fair,Low,1,Clear,3.146933668448829,Medium,1,8.259078215845683,32.7515382667801,0
PU_0011,Kano,57.674849565932185,Good,Low,3,Clear,2.054299606080352,Low,1,7.694725498878212,31.077058161503754,0
PU_0012,Kaduna,43.119462538629875,Good,Low,1,Clear,1.1839709156753473,Medium,1,6.7627123488853,22.76796103105392,0
PU_0013,Abuja,74.66396396640094,Good,Low,0,Rain,2.543175540877868,High,1,6.5792900603965165,26.801727883874964,0
PU_0014,Rivers,96.6166180197216,Good,Low,3,Rain,1.7540319326956626,Medium,1,5.289349100119951,35.25734725412425,1
PU_0015,Abuja,23.69141490510641,Good,Low,0,Rain,1.1745368843443575,Medium,1,5.24872619622043,14.611372275351926,0
PU_0016,Rivers,15.221089142139842,Good,Medium,3,Rain,0.25474121022815377,High,0,11.677496611419631,30.560462745557416,0
PU_0017,Kaduna,91.37529277704701,Good,High,1,Clear,2.5734834366776624,Low,1,7.901908108349569,39.127920717933755,1
PU_0018,Lagos,67.22635466827306,Poor,Medium,3,Clear,2.017119599636926,High,1,8.795735553708951,39.63887426421804,1
PU_0019,Rivers,44.36061613463463,Good,Low,0,Rain,0.9191129208634526,Medium,0,8.318927703734488,23.35051478252866,0
PU_0020,Abuja,57.75269745616403,Good,Low,4,Clear,1.2968319572995772,High,1,9.129452103421489,35.24471764636504,1
PU_0021,Kaduna,74.81577661244816,Good,Medium,4,Clear,2.2098185479357837,High,1,7.988408641451528,38.945768284666926,1
PU_0022,Rivers,77.530157971866,Good,High,1,Clear,3.420227945605025,Medium,1,4.369195776433421,31.059825259023334,0
PU_0023,Lagos,92.06952390107749,Poor,Low,3,Rain,1.7652194707926334,High,1,4.5859904848843165,36.292890507541976,1
PU_0024,Lagos,43.257436100666645,Poor,Medium,1,Clear,0.9449265236744884,Medium,1,4.28496042067369,24.078927851143867,0
PU_0025,Kano,30.047680091920107,Poor,Medium,1,Clear,0.5012766700325352,Medium,0,18.4233471066457,42.64455667835257,1
